Loan ID	Customer ID	Loan Status	Current Loan Amount	Term	Credit Score	Annual Income	Years in current job	Home Ownership	Purpose	Monthly Debt	Years of Credit History	Months since last delinquent	Number of Open Accounts	Number of Credit Problems	Current Credit Balance	Maximum Open Credit	Bankruptcies	Tax Liens
2652fe18-21a6-45ea-ac36-5dbecd8a60fb	2f7ac91c-5798-455b-802a-8bba36ea089e	Fully Paid	200574	Short Term	665	1546239	10+ years	Home Mortgage	Debt Consolidation	11377.77	15.7	NA	11	0	417411	590832	0	0
e1855445-b68c-44d7-9b4c-61a5fc2df15e	f7923af5-d66c-4c85-8f36-25f3db0301a2	Fully Paid	112354	Short Term	748	1397279	7 years	Home Mortgage	Buy a Car	2526.81	22.6	NA	5	0	127680	1087020	0	0
0da4b1dc-fa7b-4f8b-a3ad-4d93a978afeb	49562e6d-ef94-4eea-86b7-6d4ff097f978	Fully Paid	313698	Short Term	751	1578843	10+ years	Home Mortgage	Buy a Car	12301.93	16.2	NA	10	0	304057	798314	0	0
c9a53414-88d8-460e-ac6f-1a93c914796d	4f545c7e-da2b-4362-915c-aa3e00b4ae1b	Fully Paid	334532	Short Term	711	1502311	2 years	Home Mortgage	Debt Consolidation	17276.51	16.2	NA	21	1	419919	822690	1	0
461af42d-ae45-4c0d-8fb4-3e017544a2e8	be798449-e209-4a64-b611-5e30742fddc6	Fully Paid	88814	Short Term	720	880137	9 years	Home Mortgage	other	8948.05	22.6	NA	5	1	30495	144122	1	0
c29620d0-19f6-4d96-a292-70774c2576aa	9e85b11e-4e19-4d68-baba-aea5e86cce0f	Charged Off	786874	Long Term			3 years	Home Mortgage	Debt Consolidation	30280.87	19.4	28	24	0	453720	602470	0	0
dd79d596-4644-4460-a13e-888bad5a49cc	34a56839-7f76-4572-8f1b-591c728afa7e	Fully Paid	224554	Short Term	738	950266	10+ years	Rent	Debt Consolidation	12195.15	11	NA	7	1	196308	312224	0	0
43fdec4c-606e-4eb6-9aa2-1cb2a23176aa	42d72e52-3440-49b4-a171-35687765c744	Fully Paid	133496	Short Term	733	1152996	9 years	Rent	Debt Consolidation	10857.36	19.9	7	10	0	162507	195800	0	0
efdb3b80-4465-46df-a1b6-9dd46fb17234	21199507-9b92-44fe-a1f4-7be0f26632ef	Fully Paid	125708	Short Term	692	952280	10+ years	Own Home	Debt Consolidation	24759.28	21.7	19	12	0	185421	304106	0	0
6708502e-4b18-4278-8646-b02547c0b117	32432ed7-8428-44a5-a015-a22bf741d5f6	Charged Off	89364	Short Term	747	391647	1 year	Rent	other	2264.99	8.4	NA	8	0	10241	67012	0	0
1db97e37-6596-448b-bc0f-e2f74d9191b5	ceeab00a-ab9e-49d3-83a7-5822e13f045c	Fully Paid	334334	Short Term			5 years	Home Mortgage	Debt Consolidation	18677	15.9	16	13	0	181697	546436	0	0
a1c7346b-fad0-4aeb-89cc-1f92093bfd68	25032ed6-a245-489b-acd1-3aff325a9088	Fully Paid	247874	Long Term	699	1337980	6 years	Rent	other	30884.88	11.8	NA	13	0	533824	968814	0	0
22393c07-42c5-4bc2-a4dd-6f423ecb0418	0d942c37-1024-4d75-ae0a-07ecf3f85591	Fully Paid	324522	Long Term	691	1609680	7 years	Home Mortgage	Debt Consolidation	35010.35	14.1	34	17	0	330638	539242	0	0
fc2bb6e5-975f-4403-8c00-3aad63edcdfb	3ada4bb8-ee07-4fa6-af08-520d03ef76fd	Fully Paid	99999999	Short Term	728	482790	4 years	Rent	Debt Consolidation	9977.66	22	NA	10	0	257241	301774	0	0
232b6d93-8431-4c32-8dae-125a016c7f81	4af23e5a-094c-4bd5-8fee-6540257491a3	Fully Paid	99999999	Short Term	742	1118682	9 years	Rent	Debt Consolidation	15475.12	14.4	22	12	0	285437	470800	0	0
55e93a29-bb7d-402b-8035-a875278ca31e	003f6415-33bb-4f77-b5ea-ca1933363fe4	Fully Paid	326898	Short Term	737	790495	10+ years	Rent	Debt Consolidation	16205.29	23.4	35	10	0	149492	398860	0	0
85acfdd1-d40d-499c-abe9-f6c13c9a1870	fb81b75b-5117-4619-9a48-8b099e7f51f5	Fully Paid	224488	Short Term			6 years	Home Mortgage	Debt Consolidation	49115.19	14.8	39	12	0	421876	1633742	0	0
c9d19bd9-9d17-48ee-aa9d-a81d9dbbc26b	8a02ccc0-1099-45cc-8320-a44e351d9914	Fully Paid	224158	Short Term	748	1606811	1 year	Home Mortgage	Debt Consolidation	11769.93	23.8	NA	11	0	23731	404140	0	0
82b73186-f2a2-4d4d-97f2-4536bdc48798	0db44521-60d2-45f4-9873-391b385f16b5	Fully Paid	90068	Short Term	704	758347	4 years	Rent	Buy a Car	7140.96	10	NA	8	0	366111	700678	0	0
7a7d40df-c095-4c86-8b6e-9c7197179474	993c5c2c-6cbb-4464-8aee-59dd23fbc5fc	Fully Paid	184404	Short Term	741	853119	< 1 year	Own Home	major_purchase	14005.28	23.7	12	7	1	37335	103158	1	0
9818259d-d559-404f-91ac-a6d6f10c6dc0	eeb3bf01-1222-4b4c-8735-e68acfd6163b	Charged Off	190146	Short Term	7010	767619	n/a	Home Mortgage	Debt Consolidation	11322.48	14.9	81	5	0	60344	86900	0	0
25884f1e-83bd-4970-8e28-e1685d35ddc0	7a4ecabe-6d54-4609-a0f0-17b20b1622a9	Fully Paid	398464	Long Term			10+ years	Home Mortgage	Debt Consolidation	15356.37	20.5	NA	13	0	326857	650276	0	0
151cd39d-4a60-4e49-a4a4-68645eab1a9a	5bb14f5b-b200-4255-8efe-0a4037fad54f	Fully Paid	274868	Short Term	746	982927	3 years	Rent	Debt Consolidation	10484.58	22.3	NA	10	0	408082	618486	0	0
0c66c0be-13fe-45b1-b4ea-0bc27d9c5b16	77eadd04-042f-4503-b98e-ba437ca0438e	Fully Paid	210738	Long Term	718	1137492	9 years	Rent	major_purchase	7962.52	14.8	29	5	0	172140	254540	0	0
b8fa29e1-4a7b-47d8-a846-f6bbb30b6e04	79ca3773-c477-4e08-9a12-df26c50f6540	Fully Paid	238766	Short Term	731	1455647	8 years	Rent	Debt Consolidation	27171.9	12.9	30	12	0	79686	186406	0	0
7d3c6001-9a0e-4235-b287-5287a580453a	6f9ef100-36c8-4c52-83e2-9601980689dd	Charged Off	164582	Short Term	736	1364580	5 years	Rent	Debt Consolidation	17625.92	5.8	NA	7	0	384750	522302	0	0
763c5f0f-e44d-4498-b9ec-b4492bc3b0e4	fa4161c3-69a7-4b73-94e6-888f3a5e5728	Charged Off	537658	Long Term	652	1354339	8 years	Rent	Debt Consolidation	13881.97	14.6	NA	7	2	130017	206206	0	2
de47ee42-0d16-4df2-9257-4fd4c867469c	7108ba3c-135b-4b5b-ab7e-324cecd0cfcf	Fully Paid	215182	Short Term			10+ years	Rent	Debt Consolidation	7336.09	16.8	NA	4	0	202787	345290	0	0
9e7dd33c-4165-468b-94a5-9409a3af3fb1	19d4c109-f769-4476-aa15-0c8c7e2170a0	Fully Paid	518122	Short Term	735	1398362	5 years	Home Mortgage	Debt Consolidation	34376.13	20.1	31	10	0	529568	816486	0	0
